,team_name,player_id,transfer_fee_amnt,season_left,season_ord_left,window_left,arrival_fee_amnt,season_in,season_ord_in,window_in,gain
102,Wigan Athletic,12807,1200000.0,2010,2010.2,s,2300000.0,2009.0,2009.2,s,-1100000.0
108,Manchester United,73538,0.0,2010,2010.2,s,0.0,2009.0,2009.2,s,0.0
122,Wolverhampton Wanderers,29975,1680000.0,2010,2010.2,s,1400000.0,2009.0,2009.2,s,280000.0
130,West Ham United,23197,2200000.0,2010,2010.2,s,6800000.0,2009.0,2009.2,s,-4600000.0
131,West Ham United,66109,750000.0,2010,2010.2,s,1200000.0,2009.0,2009.2,s,-450000.0
132,West Ham United,87648,0.0,2010,2010.2,s,0.0,2009.0,2009.2,s,0.0
136,Bolton Wanderers,125119,0.0,2010,2010.2,s,0.0,2009.0,2009.2,s,0.0
139,Sunderland AFC,12149,4500000.0,2010,2010.2,s,5800000.0,2009.0,2009.2,s,-1300000.0
156,Liverpool FC,91056,0.0,2010,2010.2,s,0.0,2009.0,2009.2,s,0.0
164,Fulham FC,36392,360000.0,2010,2010.1,w,600000.0,2009.0,2009.2,s,-240000.0
168,Stoke City,6934,4500000.0,2010,2010.1,w,5700000.0,2009.0,2009.2,s,-1200000.0
172,West Ham United,3091,0.0,2010,2010.1,w,2600000.0,2009.0,2009.1,w,-2600000.0
174,Sunderland AFC,13239,21500000.0,2010,2010.1,w,11800000.0,2009.0,2009.2,s,9700000.0
180,Wolverhampton Wanderers,32660,1150000.0,2011,2011.2,s,2000000.0,2009.0,2009.2,s,-850000.0
181,Wolverhampton Wanderers,42062,1000000.0,2011,2011.2,s,2400000.0,2009.0,2009.2,s,-1400000.0
183,Wolverhampton Wanderers,134450,0.0,2011,2011.2,s,0.0,2010.0,2010.2,s,0.0
191,Wigan Athletic,71904,285000.0,2011,2011.2,s,800000.0,2009.0,2009.2,s,-515000.0
197,Manchester United,43261,3400000.0,2011,2011.2,s,4000000.0,2009.0,2009.2,s,-600000.0
199,Manchester United,73492,95000.0,2011,2011.2,s,0.0,2010.0,2010.2,s,95000.0
200,Manchester United,3397,0.0,2011,2011.2,s,0.0,2011.0,2011.1,w,0.0
201,Manchester United,128233,0.0,2011,2011.2,s,0.0,2010.0,2010.2,s,0.0
208,Fulham FC,63285,670000.0,2011,2011.2,s,300000.0,2009.0,2009.2,s,370000.0
209,Fulham FC,61723,0.0,2011,2011.2,s,0.0,2009.0,2009.2,s,0.0
210,Fulham FC,61723,0.0,2011,2011.2,s,0.0,2009.0,2009.2,s,0.0
215,Chelsea FC,16760,15000000.0,2011,2011.2,s,21000000.0,2009.0,2009.2,s,-6000000.0
216,Chelsea FC,74683,5000000.0,2011,2011.2,s,1750000.0,2009.0,2009.2,s,3250000.0
220,Chelsea FC,96754,360000.0,2011,2011.2,s,0.0,2009.0,2009.2,s,360000.0
226,Arsenal FC,27969,1250000.0,2011,2011.2,s,0.0,2009.0,2009.2,s,1250000.0
228,Aston Villa,4063,22800000.0,2011,2011.2,s,13000000.0,2009.0,2009.2,s,9800000.0
231,Aston Villa,3185,0.0,2011,2011.2,s,0.0,2010.0,2010.1,w,0.0
